MAKE,MODEL,MODEL_YR,BODY_STYLE,BLIND_SPOT_DETECTION,ARS,AUTO_CRASH_NOTIFICATION,FRNT_COLLISION_WARNING,LANE_DEPARTURE_WARNING,CRASH_IMMINENT_BRAKE,DYNAMIC_BRAKE_SUPPORT,NHTSA_ESC
GENESIS,GV70,2025,SUV,Standard,Standard/Optional, ,Standard,Standard,Standard,Standard,
GENESIS,GV80,2025,SUV,Standard,Standard/Optional, ,Standard,Standard,Standard,Standard,
GENESIS,GV80,2025,SUV,Standard,Standard/Optional, ,Standard,Standard,Standard,Standard,
GENESIS,GV80 COUPE,2025,SUV,Standard,Standard/Optional, ,Standard,Standard,Standard,Standard,
GENESIS,GV80 COUPE,2025,SUV,Standard,Standard/Optional, ,Standard,Standard,Standard,Standard,
GMC,ACADIA,2025,SUV,Standard,Standard/Optional, ,Standard,Standard,Standard,Standard,
GMC,ACADIA,2025,SUV,Standard,Standard/Optional, ,Standard,Standard,Standard,Standard,
GMC,CANYON,2025,PU/CC,Optional,Standard, ,Standard,Standard,Standard,Standard,
GMC,CANYON,2025,PU/CC,Optional,Standard, ,Standard,Standard,Standard,Standard,
GMC,CANYON AT4X AEV,2025,PU/CC,Optional,Standard, ,Standard,Standard,Standard,Standard,
GMC,HUMMER EV,2025,SUV,Standard,None, ,Standard,Standard,Standard,Standard,
GMC,HUMMER EV,2025,PU/CC,Standard,None, ,Standard,Standard,Standard,Standard,
GMC,SAVANA CARGO 2500,2025,CV,Optional,None, ,Optional,Optional,None,None,
GMC,SAVANA CARGO 3500,2025,CV,Optional,None, ,Optional,Optional,None,None,
GMC,SAVANA PASSENGER 2500 - 12 Passenger,2025,PV,Optional,None, ,Optional,Optional,None,None,
GMC,SAVANA PASSENGER 3500 - 12 PASSENGER,2025,PV,Optional,None, ,Optional,Optional,None,None,
GMC,SAVANA PASSENGER 3500 - 15 Passenger,2025,PV,Optional,None, ,Optional,Optional,None,None,
GMC,SIERRA 1500,2025,PU/EC,Optional,Standard/Optional, ,Standard,Standard,Standard,Standard,
GMC,SIERRA 1500,2025,PU/RC,Optional,Optional, ,Standard,Standard,Standard,Standard,
GMC,SIERRA 1500,2025,PU/CC,Optional,Standard/Optional, ,Standard,Standard,Standard,Standard,
GMC,SIERRA 1500,2025,PU/EC,Optional,Standard/Optional, ,Standard,Standard,Standard,Standard,
GMC,SIERRA 1500,2025,PU/RC,Optional,Optional, ,Standard,Standard,Standard,Standard,
GMC,SIERRA 1500,2025,PU/CC,Optional,Standard/Optional, ,Standard,Standard,Standard,Standard,
GMC,SIERRA 2500,2025,PU/CC,Optional,Optional, ,Standard,Standard,Standard,Standard,
